date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:58	1928/1928	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22e0ddafd8b3532ea7860c83c97d66f6e8%22	https://valentine.mewtru.com/robots.txt		(from )
22:35:58	5575/5575	---MCZ	200	added ('OK')	text/html	etag:W/%224cf893e32daac09106a182a02c4c6a1a%22	https://valentine.mewtru.com/	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/index.html	(from )
22:35:59	46552/46552	---M--	200	added ('OK')	font/woff2	etag:%2274c3556b9dad12fb76f84af53ba69410%22	https://valentine.mewtru.com/_next/static/media/c9a5bc6a7c948fb0-s.p.woff2	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/media/c9a5bc6a7c948fb0-s.p.woff2	(from https://valentine.mewtru.com/)
22:35:59	7540/7540	---MCZ	200	added ('OK')	text/css	etag:W/%225ed4bd2ca9a19a1762c13c5ffe194499%22	https://valentine.mewtru.com/_next/static/css/554796c3191cdae8.css	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/css/554796c3191cdae8.css	(from https://valentine.mewtru.com/)
22:35:59	3194293/3194293	---M--	200	added ('OK')	image/gif	etag:%222b890f5bba3db7b00ffae05fc34ab195%22	https://gifdb.com/images/high/cute-love-bear-roses-ou7zho5oosxnpo6k.gif	C:/My%20Web%20Sites/asdf/gifdb.com/images/high/cute-love-bear-roses-ou7zho5oosxnpo6k.gif	(from https://valentine.mewtru.com/)
22:35:59	3464/3464	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a8521504942c90f386fb404148747d35%22	https://valentine.mewtru.com/_next/static/chunks/webpack-7086a7543d1dc029.js	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/chunks/webpack-7086a7543d1dc029.js	(from https://valentine.mewtru.com/)
22:35:59	172162/172162	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d225318bcb8e4c20e8b1166af471778%22	https://valentine.mewtru.com/_next/static/chunks/fd9d1056-534a3af521b04580.js	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/chunks/fd9d1056-534a3af521b04580.js	(from https://valentine.mewtru.com/)
22:36:00	111774/111774	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f4358c9f2f5073fc8f83344b9b624eb%22	https://valentine.mewtru.com/_next/static/chunks/69-5788959f6f1d2963.js	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/chunks/69-5788959f6f1d2963.js	(from https://valentine.mewtru.com/)
22:36:00	462/462	---M--	200	added ('OK')	application/javascript	etag:%2226e3e343f4ddbeea4deb04831427fc30%22	https://valentine.mewtru.com/_next/static/chunks/main-app-f5c8d25c8479457f.js	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/chunks/main-app-f5c8d25c8479457f.js	(from https://valentine.mewtru.com/)
22:36:00	1748/1748	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9843140cf23c52a74bf3ced5ca02a0b%22	https://valentine.mewtru.com/_next/static/chunks/app/page-a53c2c10bc9b282e.js	C:/My%20Web%20Sites/asdf/valentine.mewtru.com/_next/static/chunks/app/page-a53c2c10bc9b282e.js	(from https://valentine.mewtru.com/)
